City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Eyl,SO,7.98,49.82,78.82,86,87,15.97,overcast clouds
311,Tambura,SS,5.60,27.47,70.92,97,100,4.23,moderate rain
312,Cuamba,MZ,-14.80,36.54,77.88,52,75,12.21,broken clouds
313,Ovsyanka,RU,55.96,92.55,40.17,97,100,3.47,light rain
314,Jasper,US,37.20,-94.35,84.45,56,40,5.99,scattered clouds
315,Avera,US,33.19,-82.53,81.91,53,9,8.1,clear sky
316,Sorong,ID,-0.88,131.25,79.7,84,99,5.61,light rain
317,Cabatuan,PH,10.88,122.49,76.91,91,100,9.82,moderate rain
318,Nikolayevsk-Na-Amure,RU,53.14,140.73,43.16,96,100,11.39,moderate rain
319,Batagay,RU,67.63,134.63,31.15,76,100,5.93,overcast clouds
320,Sao Jose Da Coroa Grande,BR,-8.90,-35.15,80.65,67,26,9.04,scattered clouds
321,Vire,FR,48.92,-0.83,56.59,95,18,4.45,few clouds
322,Jining,CN,35.40,116.58,52.72,59,99,8.14,light rain
323,Safford,US,32.83,-109.71,72.93,26,1,12.66,clear sky
324,Yarkovo,RU,57.40,67.08,28.36,75,13,3.8,few clouds
325,Rawson,AR,-43.30,-65.10,73.24,31,37,11.63,scattered clouds
326,Nuuk,GL,64.18,-51.72,41.61,52,75,6.91,broken clouds
327,Esso,RU,55.93,158.70,22.17,92,100,3.02,overcast clouds
328,Te Anau,NZ,-45.42,167.72,43.38,97,100,3.22,moderate rain
329,Amudat,UG,1.95,34.95,76.82,56,97,5.7,overcast clouds
330,Kashi,CN,39.45,75.98,45.61,61,100,0.0,overcast clouds
331,Ust-Charyshskaya Pristan,RU,52.39,83.66,44.42,68,100,7.81,overcast clouds
332,Rizoma,GR,39.67,21.74,64.33,96,100,0.92,moderate rain
333,Medicine Hat,CA,50.05,-110.67,60.37,41,75,5.99,broken clouds
334,Esperance,AU,-33.87,121.90,53.44,52,100,21.05,overcast clouds
335,Derzhavinsk,KZ,51.10,66.32,40.42,77,100,8.28,overcast clouds
336,Poso,ID,-1.40,120.75,78.26,80,100,3.56,overcast clouds
337,Sari,IR,36.56,53.06,56.79,82,0,2.3,clear sky
338,Luang Prabang,LA,19.89,102.13,73.45,100,100,1.32,overcast clouds
339,Aksu,CN,41.12,80.26,50.22,23,100,3.18,overcast clouds
340,San Quintin,MX,30.48,-115.95,72.68,54,0,7.61,clear sky
341,Lushoto,TZ,-4.78,38.28,59.38,78,41,2.71,scattered clouds
342,Omboue,GA,-1.57,9.26,77.41,83,100,6.06,overcast clouds
343,Roald,NO,62.58,6.13,50.9,87,75,16.11,broken clouds
344,Kommunar,RU,59.62,30.39,53.51,68,39,9.98,scattered clouds
345,Port-Gentil,GA,-0.72,8.78,78.76,83,40,6.91,scattered clouds
346,Nyurba,RU,63.28,118.33,32.88,96,100,12.71,light snow
347,Touros,BR,-5.20,-35.46,86.9,60,45,13.76,scattered clouds
348,Makambako,TZ,-8.85,34.82,64.15,57,68,10.94,broken clouds
349,Praxedis Guerrero,MX,31.37,-106.02,74.43,14,0,31.94,clear sky
350,Kaeo,NZ,-35.10,173.78,50.32,95,17,3.67,few clouds
351,Edson,CA,53.58,-116.44,39.34,81,1,10.36,clear sky
352,Bethel,US,41.37,-73.41,63.93,88,90,1.99,overcast clouds
353,Bukachacha,RU,52.98,116.92,32.29,80,5,2.64,clear sky
354,Turbat,PK,26.00,63.04,82.85,15,0,15.48,clear sky
355,Yumen,CN,40.28,97.20,39.81,20,0,12.77,clear sky
356,Uri,IN,34.08,74.03,58.95,74,33,3.96,scattered clouds
357,Galesong,ID,-5.32,119.37,75.22,73,100,8.79,overcast clouds
358,Flinders,AU,-34.58,150.86,52.21,85,100,7.0,light rain
359,Sabang,ID,5.89,95.32,82.26,81,74,24.74,light rain
360,Deputatskiy,RU,69.30,139.90,19.49,86,100,3.83,overcast clouds
